"2015_2" "2015_3" "2016_0" "2016_1" "2016_2" "2016_3" "2017_0" "2017_1" "2017_2" "2017_3" "2018_0" "2018_1" "2018_2" "2018_3" "2019_0" "2019_1" "2019_2" "2019_3" "2020_0" "2020_1" "2020_2" "2020_3" "2021_0"
"the" 3.17460317460317 3.49062220899077 3.46792838324641 3.65441010602301 3.88931483933923 3.69059275438729 4.69306289783148 5.52188552188552 4.88205305452346 4.86919992362039 5.22409694439613 4.88761867855067 4.91466940221953 4.89681706890521 5.31037366480404 5.45735038889246 5.46623002486888 5.61492083721386 5.51454066893497 4.8733786287832 4.41484538661164 4.15625223166464 5.35643170051772
"be" 4.53984702689366 4.7484370348318 4.44109898381633 4.63192721257237 4.51662368439395 3.91654741281916 4.33703743661668 4.25589225589226 4.03525447161497 4.39182738208898 4.33118803270134 4.68416973454757 4.83695483229196 4.78411254906533 4.76299083894021 4.58635983801504 4.83835225174205 4.66153619920592 4.78911215253258 4.57381099444101 4.37107213207016 4.42286176771644 0.876144962166468
"to" 2.36861584011843 2.08395355760643 2.27431582343137 1.93999548838259 2.3907437094863 2.56835128417564 2.70795123530046 3.20538720538721 3.06748466257669 3.13792883966648 2.89905490809996 2.82890912613835 2.49308340327645 2.4794994364774 2.44041509864295 2.90223050716719 2.62231305247088 2.51458261849909 2.77652949861976 2.62198888202594 2.50758215301879 2.49232307362708 2.51891676622859
"and" 1.48038490007402 1.65972015480798 1.54309371471584 1.94751485074066 2.32104272670245 1.90555095277548 2.30877117272629 2.27609427609428 2.33301650393156 2.55871682260836 3.08459442221836 2.90641348575857 2.86922192172588 3.0857720259609 2.48983160375565 2.48762614900045 2.39086006943589 2.423900789177 2.16665596713103 2.62816553428042 2.89216146077604 2.77559570568212 2.25009956192752
"of" 1.46393617896209 1.35456981244418 1.56997688047744 1.48131438454019 1.72858437303966 1.52895985538902 1.95274571151149 2.00673400673401 2.03922924047352 2.30411813379161 2.35403258537717 2.1023057546987 2.02990456650813 2.35513582837822 2.24274907819212 2.02802596901716 2.08553911309187 1.8773589529925 1.77505296270142 1.99197035206918 1.78532345308445 1.83056011806994 2.28992433293509
"a" 1.95739781232009 1.91277165823162 1.89795150276897 1.75953079178886 1.54736181780163 1.52142803344129 1.73697270471464 1.65656565656566 1.40845070422535 1.54032206734135 1.82640459210297 1.75838015888394 1.91177842021822 1.838249582216 1.94625004751587 1.73555312720962 1.82207667495629 1.90676927601588 1.83604031585029 1.87152563310686 1.81346340243254 1.87340807922112 1.74233373158104
"in" 1.46393617896209 1.72670437630247 1.80654873917953 1.84224377772765 1.74949466787482 2.10891014536416 1.71539540403496 1.67003367003367 1.65903395835133 1.68035134619057 1.69304806633038 1.39507847316412 1.36155926513103 1.68279507209203 1.4596875356369 1.58128173812432 1.50444438972743 1.43130238713789 1.56962187841048 1.48548486720198 1.82284338554857 1.56633102430432 1.9115890083632
"i" 2.2041286289991 2.66448347722536 2.66681004355073 2.9851868561546 2.28619223531052 2.13903743315508 1.53198834825763 1.01010101010101 1.2442754687635 1.14569409967539 0.962486229489186 0.934896337919008 1.08800397898598 0.956045237262446 1.30003421142662 1.21810117631934 1.31977445645483 1.29160335277682 1.12987096360018 1.23841877702285 1.12559797392365 1.07834035563808 0.726802070888092
"have" 0.945801463936179 1.12384638285204 1.01080703263616 1.34596586209489 1.10824562626333 1.02432778489117 1.13280828568346 0.902356902356902 1.01097381837034 1.04385462414869 1.01466921783499 1.34663824840147 1.34290776834841 1.2630678947573 1.30383548105067 1.28238092177155 1.45027454263413 1.39944120386256 1.45085703280478 1.30636195182211 1.35071756870838 1.1378514127925 0.706889685384309
"for" 1.27477588617485 1.16105983923787 1.27426205709984 1.13542371606888 0.91308287446853 1.24275062137531 1.12201963534362 1.29292929292929 1.14922664823296 1.3875628540513 1.13642952397518 1.04630885487309 1.29006186079766 1.2669542575104 1.14038088721633 1.1441794690493 1.10063280230468 1.10533797362874 1.08814277460358 1.19827053736875 1.3882375011725 1.24259087338427 1.06531262445241
