"2015_2" "2015_3" "2016_0" "2016_1" "2016_2" "2016_3" "2017_0" "2017_1" "2017_2" "2017_3" "2018_0" "2018_1" "2018_2" "2018_3" "2019_0" "2019_1" "2019_2" "2019_3" "2020_0" "2020_1" "2020_2" "2020_3" "2021_0"
"neverforget" 0 0 0 0 0 0.205761316872428 2.38095238095238 0 0 1.35135135135135 1.92307692307692 0 0 3.57142857142857 0 0 0 0 0 0 0 0.434782608695652 0
"taxreform" 0 0 0 0 0 0 0 0 0 6.75675675675676 0 0 0 0 0 0 0 0 0 0 0 0 0
"vote" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.34782608695652 0
"nyprimary" 0 0 0 1.99115044247788 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"thankyoutour" 0 0 0 0 0 0 21.4285714285714 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"votetrumpsc" 0 0 1.7578125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"apec" 0 0 0 0 0 0 0 0 0 5.40540540540541 0 0 0 0 0 0 0 0 0 0 0 0 0
"hurricaneharvey" 0 0 0 0 0 0 0 0 4.72972972972973 0.675675675675676 0 0 0 0 0 0 0 0 0 0 0 0 0
"mn" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.2 1.73913043478261 0
"ncgopcon" 11.5942028985507 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"periscope" 4.34782608695652 1.13636363636364 0.1953125 0 0 0.205761316872428 0 0 0 0 1.92307692307692 0 0 0 0 0 0 0 0 0 0 0 0
"potus" 0 0.568181818181818 0.5859375 0.442477876106195 0 0.205761316872428 0 1.0989010989011 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"tx" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.86915887850467 0.970873786407767 2.4 0.869565217391304 0
"votetrumpnh" 0 0 1.5625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"weeklyaddress" 0 0 0 0 0 0 0 4.3956043956044 1.35135135135135 1.35135135135135 0 0 0 0 0 0 0 0 0 0 0 0 0
"isis" 0 0.568181818181818 0.5859375 0 0 0.411522633744856 0 0 0.675675675675676 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"nhprimary" 0 0 1.3671875 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"obamacarefail" 0 0 0 0 0 1.440329218107 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sotu" 0 0 0.390625 0 0 0 0 0 0 0 1.92307692307692 0 0 0 7.89473684210526 0 0 0 0.934579439252336 0 0 0 0
"thanniversary" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0
"magatickets" 0 0 0 0 0.32258064516129 1.02880658436214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"makeamericasafeagain" 0 0 0 0 1.93548387096774 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ny" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.892857142857143 0 0 0 0 0 0 2.4 0.869565217391304 0
